Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Túnez,TUN,12.6,13.2,13,13.2,12.9,12.5,12.4,11.8,11.9,12.2,12.9
Turquía,TUR,14.2,12.7,13,13.8,11.5,13.3,13.2,11.4,11.8,14.1,13.7
Tuvalu,TUV,0.4,0.2,0.3,0.7,0.7,3,7.3,7,6.4,6.3,5
Tanzanía,TZA,89.4,87.6,85.2,84.5,84.7,82.8,81.7,82,81.3,80.4,80.8
Uganda,UGA,93.6,93.3,93.4,93.1,92.4,91.7,91.4,91.3,90.5,90.5,91.6
Ucrania,UKR,2.9,2.7,2.9,3.5,3.5,4.2,5.5,6.5,6.9,7.4,8.7
Ingreso mediano alto,UMC,15.37209343,14.43770279,14.30863955,14.21730411,14.41327397,14.56846757,14.94980388,15.17363984,15.37795888,15.91784758,16.55015792
Uruguay,URY,53.3,49.7,47.9,51.9,56.7,59.4,60.3,60.8,60.8,59.3,61.2
Estados Unidos,USA,7.4,8.4,8.5,8.9,9,8.9,9.3,9.7,9.9,10.2,11
Uzbekistán,UZB,1.3,0.9,1.3,1.2,1.4,1.7,1.6,1.7,1.5,1.6,1
San Vicente y las Granadinas,VCT,5.1,6.1,5,5.4,3.3,4.3,4.1,5.3,4.9,5.4,5.2
Venezuela,VEN,13.8,14.8,13.8,15.4,12.1,15.4,14.6,14.3,14.6,15.8,31.2
Islas Vírgenes Británicas,VGB,0.7,0.9,0.9,1,1,1,1,1.1,1.2,1.2,1.3
Islas Vírgenes (EE.UU.),VIR,0.7,1.2,2,2.9,4.2,5.6,5.7,5.3,5.8,6.2,5.9
Viet Nam,VNM,34.6,36.3,37.9,37.4,36.7,27.8,26.8,28.3,24.3,20.4,18.9
Vanuatu,VUT,38.1,35.8,39,40.9,31.5,35.6,33.1,35.7,29.7,31.6,26
Mundo,WLD,16.74770892,16.71762707,16.95344844,17.21164809,17.38010859,17.4241285,17.67675038,17.91919181,18.1622255,18.63654208,19.77134448
Samoa,WSM,41.9,40.6,40.2,42.6,41.4,37.1,36.8,35.8,36.6,34.2,35.6
Kosovo,XKX,,,,,,,,,,,
"Yemen, Rep. del",YEM,0.8,0.9,1.1,0.8,0.8,2,2.6,3,2.9,3,3.5
Sudáfrica,ZAF,9.4,9,8.3,7.8,7.6,7.6,7.8,7.9,8,8.7,9.8
Zambia,ZMB,89.2,87.9,85.4,85.3,84.6,84,84,83.5,83.8,86.1,85.4
Zimbabwe,ZWE,81.2,77.2,77,79.3,80.8,80.8,81.7,82,79.7,81,84.1
