Country Name,2019 [YR2019]
Low & middle income,3.04245E+13
Low income,4.45278E+11
Lower middle income,6.27811E+12
Middle East & North Africa,3.54995E+12
Middle East & North Africa (excluding high income),1.43313E+12
Middle East & North Africa (IDA & IBRD countries),1.416E+12
Middle income,2.99785E+13
North America,2.32725E+13
Not classified,..
OECD members,5.4053E+13
Other small states,1.95442E+11
Pacific island small states,10729092905
Post-demographic dividend,5.10188E+13
Pre-demographic dividend,1.42716E+12
Small states,2.43792E+11
South Asia,3.65821E+12
South Asia (IDA & IBRD),3.65821E+12
Sub-Saharan Africa,1.83046E+12
Sub-Saharan Africa (excluding high income),1.82859E+12
Sub-Saharan Africa (IDA & IBRD countries),1.83046E+12
Upper middle income,2.37004E+13
World,8.79456E+13
,
,
,
,
,
Indicator Name,
GDP (current US$),
